"Robby Carmody","Le Moyne",NEC,24,50.1,109.9,21,52.4,58.37,3.8,7.7,8.9,14.3,73,92,0.793,46,91,0.505,34,94,0.362,1.1,2.1,49.7,Sr,6-4,11,1.59619,107.995,4,2025,65443,"Mars, PA",83.0,0.84375005,40,73,6,18,0.5479,0.3333,1,1,1.0000,,117.795,125.564,0.544651,92.3853,-3.86866,0.7981,-4.66676,-3.35546,25.1400,0.17176,-3.52722,0.7600,1.6000,2.3600,1.0800,0.8800,0.2400,11.2400,"Combo G",8.84099
"Drue Drinnon","Texas St.",SB,24,43.8,109,13.7,54.2,58.26,1.1,5.3,14.3,22.7,30,40,0.75,16,39,0.41,24,57,0.421,0.4,1,41.7,Sr,6-0,55,0.729996,99.338,4.4,2025,65572,"Smyrna, GA",56.8,1.74991871,9,21,7,18,0.4286,0.3889,0,0,,,115.766,118.237,1.03419,63.4953,-3.79845,-0.193207,-3.60524,-4.03782,22.6077,-1.97592,-2.0619,0.1923,1.2308,1.4231,2.1538,0.4231,0.0769,6.0385,"Scoring PG",6.34446
"K.J. Hymes",Nevada,MWC,31,28.9,112.5,16.1,63.5,59.47,12.6,11.7,4.4,15.9,26,55,0.473,40,63,0.635,0,0,0,4.7,1.6,87.3,Sr,6-10,42,0.850444,109.65,6.1,2025,65575,"Phoenix, AZ",37.4,0.56248792,38,55,2,8,0.6909,0.2500,18,19,0.9474,,104.82,102.809,1.23535,65.6713,1.07514,-0.0400815,1.11522,-0.747991,12.3839,-1.19639,0.448396,1.2258,1.1613,2.3871,0.2903,0.3226,0.4194,3.4194,C,0
"Jack Clark",VCU,A10,34,72.2,127.8,16,58.5,61.35,6.9,19.9,12.8,13.8,53,67,0.791,68,105,0.648,49,137,0.358,1.7,2.2,27.7,Sr,6-10,4,3.27345,122.422,3.2,2025,65627,"Cheltenham, PA",,1.84212944,54,77,14,28,0.7013,0.5000,15,15,1.0000,,93.2521,92.5856,3.9304,196.471,6.73099,3.90253,2.82846,6.24331,28.7800,3.56159,2.68172,1.7714,5.1714,6.9429,2.0000,1.0286,0.4286,9.6571,"Stretch 4",8.38474
"Robert Braswell",Charlotte,Amer,32,61.9,115.5,20.2,55.5,61.3,4.3,8.8,4.4,12.3,90,108,0.833,66,122,0.541,43,113,0.381,3.2,1.8,46,Sr,6-7,20,2.16924,115.008,4.3,2025,65717,"Jacksonville, FL",69.8,0.48480001,64,103,2,19,0.6214,0.1053,17,21,0.8095,,112.912,112.453,1.66173,124.441,-0.0601535,1.07361,-1.13377,0.784534,25.0636,1.52941,-0.744872,0.8788,1.6970,2.5758,0.4848,0.7879,0.6970,10.9394,"Wing G",8.51174
"Wynston Tabbs","Morgan St.",MEAC,10,22.2,97.8,27,39,47.27,2.2,10.2,18.6,16.4,36,40,0.9,35,71,0.493,5,38,0.132,1.6,2.4,36.7,Sr,6-3,1,1.06274,101.942,3.5,2025,65852,"Suitland, MD",42.8,1.19998956,23,41,12,30,0.5610,0.4000,1,1,1.0000,,113.493,118.364,1.1721,44.1323,-5.3923,-1.9365,-3.45579,-3.0846,25.9154,-0.79252,-2.29208,0.5385,2.6923,3.2308,2.3077,1.4615,0.4615,15.0769,"Combo G",8.40594
"Tyrel Bladen","Norfolk St.",MEAC,29,38.4,98,14.9,55.1,55.29,7.6,14.1,5,24,23,43,0.535,49,89,0.551,0,0,0,2.5,1,48.3,Sr,6-10,8,-0.0850302,88.3332,6.2,2025,65878,"Coatesville, PA",,0.45457964,42,70,7,19,0.6000,0.3684,11,14,0.7857,,107.5,110.16,1.27136,82.0872,-3.55577,-3.07294,-0.482832,-5.11773,17.3194,-4.32642,-0.791316,1.1290,2.2581,3.3871,0.4839,0.2581,0.3871,4.3871,C,0
"Jerome Hunter",Xavier,BE,34,46.8,106.6,16.8,56.2,59.88,7.7,12.9,7.9,21.4,41,54,0.759,52,106,0.491,17,32,0.531,2.8,1.6,39.1,Sr,6-8,2,1.09417,106.622,4.4,2025,65892,"Columbus, OH",88.4,0.69995750,39,62,13,44,0.6290,0.2955,7,7,1.0000,,103.997,99.7864,2.07833,112.129,2.65858,0.376627,2.28195,1.03921,18.8588,-0.231381,1.27059,1.1471,2.0588,3.2059,0.8235,0.5294,0.4706,5.7647,"Wing F",2.87713
"Antwann Jones","Bethune Cookman",SWAC,1,0.4,250,7.2,125,125,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,Sr,6-6,4,2.64325,228.278,0,2025,65925,"Orlando, FL",79.0,0.00000000,0,0,1,1,,1.0000,0,0,,,115.477,97.7129,0.650154,0.497404,-0.693704,3.19968,-3.89338,24.4615,5.5000,22.6026,1.85892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,"Combo G",10.8389
"Keenan Fitzmorris",Northwestern,B10,22,14.6,131.7,11.1,63.3,67.63,7.7,6.4,5.6,14,9,10,0.9,19,30,0.633,0,0,0,9.4,0.6,33.3,Sr,7-0,5,1.03399,123.519,6.3,2025,65938,"Overland Park, KS",55.2,1.19973607,6,8,13,22,0.7500,0.5909,5,5,1.0000,,105.988,97.4092,1.04761,30.5318,5.86098,0.681888,5.1791,2.9888,8.8818,-0.878206,3.86701,0.5909,0.4545,1.0455,0.2727,0.0909,0.6818,2.1364,C,0
